marka,model,year,price,currency,photo_link,ad_link
Audi,A4,2008,5555,EUR,https://prod.pictures.autoscout24.net/listing-images/36c5a246-0072-4bdf-9c2b-bf348d64f895_5b0c943a-5e64-40c0-be42-0e6ff9fe75b6.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a4-avant-1-8-tfsi-ambition-gasoline-black-36c5a246-0072-4bdf-9c2b-bf348d64f895
Audi,A3,2015,14900,EUR,https://prod.pictures.autoscout24.net/listing-images/356f6682-8b99-4e50-8817-fe4c15392b28_504db8b3-9f9a-49f1-a639-b767200aef91.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a3-spb-1-4-tfsi-125-cv-attraction-navi-gasoline-black-356f6682-8b99-4e50-8817-fe4c15392b28
Audi,TT, 2021,52990,EUR,https://prod.pictures.autoscout24.net/listing-images/ef527a8a-466f-4c49-ae04-129ab936b33b_03199189-06dc-48fb-8418-731b9a22d5b6.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-tt-roadster-45-tfsi-180-245-kw-ps-sportpaket-navi-gasoline-black-ef527a8a-466f-4c49-ae04-129ab936b33b
Audi,A4,2020,35470,EUR,https://prod.pictures.autoscout24.net/listing-images/8dd98547-87ca-4f67-8300-0c49df81c764_9b5e02bc-d9ce-4f5f-a189-6236275a5d6d.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a4-avant-35-tdi-advanced-led-navi-acc-pdc-sthz-diesel-black-8dd98547-87ca-4f67-8300-0c49df81c764
Audi,A3,2020,27890,EUR,https://prod.pictures.autoscout24.net/listing-images/c2419219-4d2f-41a2-a39d-d5d8aca9819c_a1a28e7f-071e-445b-b21c-ee88252f3e36.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a3-limousine-35-tfsi-advanced-gra-pdc-usb-dab-xenon-gasoline-blue-c2419219-4d2f-41a2-a39d-d5d8aca9819c
Audi,A3,2020,29890,EUR,https://prod.pictures.autoscout24.net/listing-images/5755f045-1a66-42ab-b559-40a52c3d9ca8_e98e4545-53b6-4ca4-bbe0-bd827e55f5bd.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a3-sportback-35-tfsi-navi-vc-pdc-usb-xenon-klima-gasoline-black-5755f045-1a66-42ab-b559-40a52c3d9ca8
Audi,A1, 2021,33240,EUR,https://prod.pictures.autoscout24.net/listing-images/b93d7b43-ba54-438b-b469-753f874f52c3_01f7c7bc-84d0-480e-ac03-2d2234b8c711.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a1-citycarver-30-tfsi-81-110-kw-ps-s-tronic-navi-gasoline-black-b93d7b43-ba54-438b-b469-753f874f52c3
Audi,Q5,2012,16880,EUR,https://prod.pictures.autoscout24.net/listing-images/cc636af0-154a-408e-99ec-35cfdd9c5186_1cfd4969-0f6f-489d-a90d-7a6b854638ad.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-q5-3-0-tdi-quattro-memory-leder-pano-mmi-navi-diesel-white-cc636af0-154a-408e-99ec-35cfdd9c5186
Audi,Q7,2020,89888,EUR,https://prod.pictures.autoscout24.net/listing-images/3ca50434-0613-43cf-8044-b45eeabd0c98_11318d30-05da-46eb-8fff-07412f4c1616.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-q7-50-tdi-quattro-ahk-leder-standh-pano-matrix-led-diesel-grey-3ca50434-0613-43cf-8044-b45eeabd0c98
Audi,A3,2017,19888,EUR,https://prod.pictures.autoscout24.net/listing-images/5aa31dce-9f52-4cf0-a5da-5300b134df0d_a4781136-9687-4e91-a6c2-43f952227c17.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a3-sportback-sport-2-0-tdi-dsg-led-businesspaket-diesel-grey-5aa31dce-9f52-4cf0-a5da-5300b134df0d
Audi,Q3,2020,44444,EUR,https://prod.pictures.autoscout24.net/listing-images/858708f7-d364-4c47-8aa3-c998aa43e67c_5b882703-78b7-42ea-8001-59326a3483eb.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-q3-35-tdi-s-line-ahk-virtualc-navi-led-kamera-klima-diesel-black-858708f7-d364-4c47-8aa3-c998aa43e67c
Audi,TT,2017,31888,EUR,https://prod.pictures.autoscout24.net/listing-images/fa947343-6391-4b28-8092-1fd49e851036_8a1d4d1d-a354-41a7-a1c3-b52e8601910f.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-tt-coupe-2-0-tfsi-dsg-4x-s-line-leder-alc-matrix-gasoline-red-fa947343-6391-4b28-8092-1fd49e851036
Audi,A3,2017,20000,EUR,https://prod.pictures.autoscout24.net/listing-images/db9d858b-898b-4e50-8324-691052fd5eb7_ca0ccc63-2c74-455d-aa3b-7de911e21254.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a3-1-6-tdi-design-diesel-black-db9d858b-898b-4e50-8324-691052fd5eb7
Audi,A4,2018,25931,EUR,https://prod.pictures.autoscout24.net/listing-images/20345e8d-8fc8-4fca-80a5-8cc401cb8c4a_3eb0d8f8-215e-4ac3-a0bc-748829d9c355.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a4-avant-2-0-tdi-sport-s-tronic-ahk-acc-xenon-navi-diesel-black-20345e8d-8fc8-4fca-80a5-8cc401cb8c4a
Audi,Q5,2018,38680,EUR,https://prod.pictures.autoscout24.net/listing-images/3f1aaf4b-2b38-463a-9b29-d5711d32a7f9_a1e5e0a2-bb21-495c-a3a5-0a2121c0999b.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-q5-3-0-tdi-tiptronic-quattro-sport-panorama-navi-led-diesel-grey-3f1aaf4b-2b38-463a-9b29-d5711d32a7f9
Audi,A6,2018,27680,EUR,https://prod.pictures.autoscout24.net/listing-images/707b6c0f-c2fa-4a47-9114-3c42bb270536_a8fb30af-2476-4766-9b0d-87c0fdd9e377.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a6-avant-2-0-tdi-s-tronic-quattro-xenon-navi-klima-diesel-black-707b6c0f-c2fa-4a47-9114-3c42bb270536
Audi,A5,2018,29980,EUR,https://prod.pictures.autoscout24.net/listing-images/76f016d9-4e07-4531-b2f5-237ed596f882_075baec9-914a-482f-a3e6-6f99f78d92c6.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a5-sportback-3-0-tdi-s-tronic-quattro-sport-navi-led-diesel-red-76f016d9-4e07-4531-b2f5-237ed596f882
Audi,A6,2018,27980,EUR,https://prod.pictures.autoscout24.net/listing-images/476fec8c-1448-4626-bf53-70f65671c473_28802428-384c-48e2-bbf4-e47260b2ee99.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a6-avant-2-0-tdi-s-tronic-quattro-xenon-navi-klima-diesel-black-476fec8c-1448-4626-bf53-70f65671c473
Audi,A4,2018,22980,EUR,https://prod.pictures.autoscout24.net/listing-images/52303ed4-bf75-414b-948d-63f7815ef831_010be9f0-8d9d-43a1-aea1-122616e95c15.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a4-avant-2-0-tdi-s-tronic-sport-navi-einparkhilfe-diesel-black-52303ed4-bf75-414b-948d-63f7815ef831
Audi,A6,2018,19980,EUR,https://prod.pictures.autoscout24.net/listing-images/8b001925-5988-4281-b8ff-6854cbb89285_c7788596-8304-4868-a6c6-a292dea83769.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a6-avant-2-0-tdi-panoramadach-xenon-navi-klima-diesel-black-8b001925-5988-4281-b8ff-6854cbb89285
Audi,Q2,2016,19890,EUR,https://prod.pictures.autoscout24.net/listing-images/44a3fa37-a76b-44f2-ab21-ac9dab48fa5e_e142103b-5e8e-4b75-a188-37845a06adec.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-q2-1-6-tdi-s-line-hud-led-navi-alcantara-bluetooth-diesel-orange-44a3fa37-a76b-44f2-ab21-ac9dab48fa5e
Audi,A5,2018,35480,EUR,https://prod.pictures.autoscout24.net/listing-images/43120db6-3d29-4fd3-9578-02ae78219e23_e7295069-3919-4fc8-b1a2-d4136faaf57c.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a5-cabriolet-2-0-tfsi-s-line-sport-plus-s-tronic-s-gasoline-grey-43120db6-3d29-4fd3-9578-02ae78219e23
Audi,A3,2016,16495,EUR,https://prod.pictures.autoscout24.net/listing-images/7d3ea0bb-dee1-44ca-aca7-9697ece7a702_1220f1d7-4302-4b83-b1be-8f6c5c3ce22f.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a3-1-6-tdi-limousine-attraction-gps-pdc-diesel-grey-7d3ea0bb-dee1-44ca-aca7-9697ece7a702
Audi,A1,2013,13999,EUR,https://prod.pictures.autoscout24.net/listing-images/1fe2e5a6-3a46-432c-9c87-13a8718bf826_d913bcaf-1c75-4b13-9e26-a525b68d49a1.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a1-sportback-1-4-tfsi-s-line-dsg-pdc-teilleder-18-alu-gasoline-red-1fe2e5a6-3a46-432c-9c87-13a8718bf826
Audi,A3,2012,9800,EUR,https://prod.pictures.autoscout24.net/listing-images/3403e1eb-3dfc-4d9a-bb70-c03b8c9ea412_7757b286-3b3d-4c0e-bf9e-c516bc94d563.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a3-1-2-tfsi-sportback-s-tronic-attraction-gasoline-grey-3403e1eb-3dfc-4d9a-bb70-c03b8c9ea412
Audi,A4,2021,34758,EUR,https://prod.pictures.autoscout24.net/listing-images/c2f8a2dc-96e6-460d-bee8-81f3035a591f_b96b8303-f401-4e61-a10b-91941221e9b4.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a4-2-0-35-tfsi-advanced-gasoline-blue-c2f8a2dc-96e6-460d-bee8-81f3035a591f
Audi,A4,2020,33733,EUR,https://prod.pictures.autoscout24.net/listing-images/cb6e0aa9-4875-44b1-a0a2-4c4e0487b23e_7f150ff3-a8e4-416e-820e-ffcb99122f5b.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a4-35-tfsi-advanced-s-tronic-electric-gasoline-white-cb6e0aa9-4875-44b1-a0a2-4c4e0487b23e
Audi,A3,2010,6900,EUR,https://prod.pictures.autoscout24.net/listing-images/efb93ef2-aa03-4eb6-82ba-985d339a6825_a40b2194-825b-4085-82e3-6c3a33ea43d3.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a3-1-9-tdi-ambition-garantie-12-mois-diesel-black-efb93ef2-aa03-4eb6-82ba-985d339a6825
Audi,A4,2001,2900,EUR,https://prod.pictures.autoscout24.net/listing-images/8e6b1d10-bf8f-48dc-8ce8-34ec0beafb49_00b668f1-8c23-467b-ba8e-d34d91cbbe89.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a4-1-9-tdi-advance-garantie-12-mois-diesel-red-8e6b1d10-bf8f-48dc-8ce8-34ec0beafb49
Audi,A4,2017,20900,EUR,https://prod.pictures.autoscout24.net/listing-images/cf680568-ab8b-4ed7-9b38-19a4dfac7743_9b6ab9b4-3dfa-4349-ba31-00d85d93978c.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a4-2-0-tdi-ultra-business-s-tronic-diesel-grey-cf680568-ab8b-4ed7-9b38-19a4dfac7743
Audi,A3,2015,24750,EUR,https://prod.pictures.autoscout24.net/listing-images/ce8662d9-82c4-4edd-afb8-31fedcea8be5_3cec37a3-d7e3-41c2-9d8c-7a0d27a63973.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a3-2-0-tdi-cabrio-s-tronic-clean-diesel-ambition-diesel-grey-5bf82dbd-c911-4b06-b118-6f32cde5a139
Audi,A4,2013,8500,EUR,https://prod.pictures.autoscout24.net/listing-images/aa05703b-06ba-46c6-941b-66033a82ca5d_dca2ddbe-3d0e-42ed-a24e-84108daf2989.jpg/420x315.jpg,https://www.autoscout24.com/offers/audi-a4-avant-2-0-tdi-150-cv-multitronic-busi-diesel-black-ce8662d9-82c4-4edd-afb8-31fedcea8be5
