marka,model,year,fuel,price,currency,ad_link
Audi,A3,2003 ,Gasoline,12900,PLN,https://www.otomoto.pl/oferta/audi-a3-audi-a3-1-6-attraction-ID6DV339.html#e1fa481f46
Honda,Civic,2001 ,Gasoline,5500,PLN,https://www.otomoto.pl/oferta/honda-civic-honda-civic-vii-lpg-klima-oszczedna-isofix-prywatne-ID6DV337.html#e1fa481f46
Audi,A4,2003 ,Gasoline,7850,PLN,https://www.otomoto.pl/oferta/audi-a4-automat-klima-elektryka-webasto-ID6DV336.html#e1fa481f46
Mercedes-Benz,Klasa,2006 ,Diesel,14800,PLN,https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-2-2-diesel-150km-bezwypadkowy-super-stan-automat-gwarancja-ID6DV335.html#e1fa481f46
Fiat,Ducato,2007 ,Diesel,21900,PLN,https://www.otomoto.pl/oferta/fiat-ducato-9-osobowy-oszklony-ID6DV334.html#e1fa481f46
Volkswagen,Passat,2007 ,Diesel,11750,PLN,https://www.otomoto.pl/oferta/volkswagen-passat-vw-passat-1-9-tdi-zloty-metalik-ID6DV333.html#e1fa481f46
Audi,A4,2008 ,Gasoline,27900,PLN,https://www.otomoto.pl/oferta/audi-a4-audi-a4-b8-1-8tfsi-lpg-160km-ID6DV332.html#e1fa481f46
Nissan,Note,2008 ,Gasoline,13900,PLN,https://www.otomoto.pl/oferta/nissan-note-ID6DV331.html#e1fa481f46
Peugeot,5008,2010 ,Gasoline,20000,PLN,https://www.otomoto.pl/oferta/peugeot-5008-pb-156-km-panorama-super-stan-ID6DV330.html#e1fa481f46
Audi,A3,2011 ,Diesel,27900,PLN,https://www.otomoto.pl/oferta/audi-a3-bardzo-ladna-super-stan-100-bezwypadkowy-klimatronik-zobacz-ID6DV32Z.html#e1fa481f46
Peugeot,308,2010 ,Diesel,9500,PLN,https://www.otomoto.pl/oferta/peugeot-308-peugeot-308-1-6-hdi-2010r-ID6DV32Y.html#e1fa481f46
Skoda,Fabia,2009 ,Gasoline,13900,PLN,https://www.otomoto.pl/oferta/skoda-fabia-skoda-fabia-1-2-2009-ID6DV32W.html#e1fa481f46
Skoda,Octavia,2017 ,Diesel,49900,PLN,https://www.otomoto.pl/oferta/skoda-octavia-sliczna-octavia-2-0tdi150psnavi-xenon-led-el-klapa-dsg-serwis-top-ID6DV32T.html#e1fa481f46
Audi,A3,2008 ,Diesel,25999,PLN,https://www.otomoto.pl/oferta/audi-a3-audi-a3-2-0-tdi-ID6DV32R.html#e1fa481f46
Citroen,C5,2009 ,Diesel,28500,PLN,https://www.otomoto.pl/oferta/citroen-c5-salon-polska-full-opcja-bardzo-zadbany-pierwszy-wlasciciel-ID6DV32Q.html#e1fa481f46
Volkswagen,Passat,2012 ,Diesel,36900,PLN,https://www.otomoto.pl/oferta/volkswagen-passat-2-0-cr-170-km-navi-radar-kamery-skora-ID6DV32P.html#e1fa481f46
Ford,Galaxy,2010 ,Diesel,33500,PLN,https://www.otomoto.pl/oferta/ford-galaxy-ford-galaxy-full-wersja-kamera-7-osob-163km-2-0-tdci-ID6DV32N.html#e1fa481f46
Porsche,911,2020 ,Gasoline,1299900,PLN,https://www.otomoto.pl/oferta/porsche-911-992-turbo-s-burmester-wentylacja-foteli-dwukolorowe-wnetrze-ID6DV32M.html#e1fa481f46
Citroen,C3,2014 ,Gasoline,16800,PLN,https://www.otomoto.pl/oferta/citroen-c3-citroen-c3-ID6DV32L.html#e1fa481f46
Seat,Cordoba,2004 ,Gasoline,8900,PLN,https://www.otomoto.pl/oferta/seat-cordoba-1-4-2004-r-salon-polska-niski-przebieg-118-tys-km-klimatronik-ID6DV32K.html#4e435f05af
Skoda,Octavia,2011 ,Diesel,24900,PLN,https://www.otomoto.pl/oferta/skoda-octavia-140km-navi-klimatronik-podgrze-fotele-tempomat-pdc-niemcy-ID6DV32J.html#4e435f05af
Pontiac,G6,2006 ,Gasoline,11800,PLN,https://www.otomoto.pl/oferta/pontiac-g6-coupe-3-5v6-aut-skory-chromy-szklany-dach-ID6DV32H.html#4e435f05af
Audi,A3,2010 ,Gasoline,27900,PLN,https://www.otomoto.pl/oferta/audi-a3-102km-mpi-klimatronik-podgrze-fotele-serwis-niemcy-ID6DV32G.html#4e435f05af
Audi,S3,2001 ,Gasoline,24990,PLN,https://www.otomoto.pl/oferta/audi-s3-audi-s3-8l-1-8t-250km-prywatne-ogloszenie-ID6DV32F.html#4e435f05af
BMW,Seria,2017 ,Diesel,200000,PLN,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-540d-x-drive-sport-line-ID6DV32t.html#4e435f05af
Mazda,6,2009 ,Gasoline,15000,PLN,https://www.otomoto.pl/oferta/mazda-6-mazda-6-kombi-gh-2-0-benz-147km-ID6DV32m.html#4e435f05af
BMW,Seria,2013 ,Gasoline,61500,PLN,https://www.otomoto.pl/oferta/bmw-seria-3-bmw-328ix-xdrive-usa-biala-automat-ID6DV32l.html#4e435f05af
Renault,Laguna,2015 ,Diesel,35500,PLN,https://www.otomoto.pl/oferta/renault-laguna-lift-navi-czujniki-led-biala-perla-ID6DV32j.html#4e435f05af
Skoda,Yeti,2016 ,Diesel,54000,PLN,https://www.otomoto.pl/oferta/skoda-yeti-150km-salon-pl-serwis-aso-fv-vat-23-ID6DV32g.html#4e435f05af
Hyundai,Tucson,2009 ,Diesel,23900,PLN,https://www.otomoto.pl/oferta/hyundai-tucson-4x4-136km-navi-skory-tempomat-podgrze-fotele-pdc-niemcy-ID6DV32f.html#4e435f05af
Volkswagen,Passat,2007 ,Diesel,9999,PLN,https://www.otomoto.pl/oferta/volkswagen-passat-klima-elektryka-z-niemiec-zadbany-okazyjna-cena-ID6DV32d.html#4e435f05af
Citroen,C5,2009 ,Gasoline,20900,PLN,https://www.otomoto.pl/oferta/citroen-c5-auto-z-niemiec-super-stan-120-tys-przebiegu-ID6DV329.html#4e435f05af
Nissan,Qashqai,2013 ,Diesel,36900,PLN,https://www.otomoto.pl/oferta/nissan-qashqai-polski-salon-klimatronik-przebieg-udok-nowy-rozrzad-ladny-z-domu-ID6DV324.html#4e435f05af
Nissan,King,2006 ,Diesel,22000,PLN,https://www.otomoto.pl/oferta/nissan-king-cab-navara-z-niemiec-4x4-ID6DV325.html#4e435f05af
Mercedes-Benz,GLC,2015 ,Gasoline,129800,PLN,https://www.otomoto.pl/oferta/mercedes-benz-glc-mercedes-benz-glc-250-amg-4matic-fv23-panorama-idealny-krajowy-ID6DV323.html#4e435f05af
Audi,Q7,2006 ,Diesel,38300,PLN,https://www.otomoto.pl/oferta/audi-q7-audi-q7-3-0-tdi-ID6DV322.html#4e435f05af
Chrysler,Pacifica,2017 ,Gasoline,116900,PLN,https://www.otomoto.pl/oferta/chrysler-pacifica-limited-najbogatsza-wersja-stan-wzorowy-niski-przebieg-zapraszam-ID6DV31Z.html#4e435f05af
Toyota,Yaris,2001 ,Gasoline,2200,PLN,https://www.otomoto.pl/oferta/toyota-yaris-toyota-yaris-i-1-0-ID6DV31Y.html#4e435f05af
Honda,CR-V,2020 ,Electric/Gasoline,136900,PLN,https://www.otomoto.pl/oferta/honda-cr-v-2020-wersja-black-editionhybryda184km-full-opcjaoplacona-ID6DV31X.html#4e435f05af
BMW,Seria,2011 ,Diesel,25500,PLN,https://www.otomoto.pl/oferta/bmw-seria-1-bmw-seria-1-116d-ID6DV31W.html#4e435f05af
Opel,Astra,2007 ,Diesel,13999,PLN,https://www.otomoto.pl/oferta/opel-astra-kabrio-1-9-diesel-ID6DV31U.html#4e435f05af
BMW,Seria,2000 ,Diesel,11800,PLN,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-525-163km-super-stan-242tys-ID6DV31T.html#4e435f05af
