marka,model,year,fuel,country,place,price,currency,photo_link,ad_link
Skoda,Karoq,2020,Gasoline,ES,29651 MIJAS COSTA,19500,EUR,https://prod.pictures.autoscout24.net/listing-images/af5b6996-32e0-4aff-a52a-aaa9f0dcaa16_7ecd8849-17cb-4c6b-985e-8fb50224e174.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-karoq-1-5-tsi-ambition-act-gasoline-white-af5b6996-32e0-4aff-a52a-aaa9f0dcaa16
Skoda,Fabia,2018,Gasoline,AT,8264 Hainersdorf,12500,EUR,https://prod.pictures.autoscout24.net/listing-images/8ed41ac9-e8aa-4772-99c0-5759e4a6261a_199be890-a33e-4135-b514-74ea2ec39dc6.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-fabia-1-0-tsi-clever-gasoline-black-8ed41ac9-e8aa-4772-99c0-5759e4a6261a
Skoda,Octavia,2013,Diesel,DE,86825 Bad Wörishofen,15600,EUR,https://prod.pictures.autoscout24.net/listing-images/958dd169-e31a-441e-a6fb-a430335f9b5e_4df6c03d-650c-4053-b6b2-cb0eb7fe4912.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-octavia-combi-rs-2-0-tdi-green-tec-inkl-12-monate-gar-diesel-white-958dd169-e31a-441e-a6fb-a430335f9b5e
Skoda,Octavia,2013,Gasoline,BE,5360 Hamois - Ciney,8650,EUR,https://prod.pictures.autoscout24.net/listing-images/c5dd8609-4897-4b1e-a521-84d3ff8b6438_e9564753-2b46-499f-a740-468695eb77f6.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-octavia-combi-1-4-tsi-family-gasoline-black-c5dd8609-4897-4b1e-a521-84d3ff8b6438
Skoda,Yeti,2014,Gasoline,AT,5621 Sankt Veit im Pongau,13000,EUR,https://prod.pictures.autoscout24.net/listing-images/f19678aa-a8fa-41c4-b1d4-874ad170d090_77414f0c-c082-442c-8cf7-7c40c257eea0.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-yeti-1-8-tsi-dsg-4x4-l-k-gasoline-silver-f19678aa-a8fa-41c4-b1d4-874ad170d090
Skoda,Fabia,2018,Gasoline,AT,8700 Leoben,9599,EUR,https://prod.pictures.autoscout24.net/listing-images/0359a6c4-9381-b525-e053-0100007f70c3_e3b943be-7597-45c8-ad55-90acd363f046.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-fabia-1-0-tsi-drive-gasoline-white-0359a6c4-9381-b525-e053-0100007f70c3
Skoda,Superb,2011,Diesel,BE,7100 La Louvière,7850,EUR,https://prod.pictures.autoscout24.net/listing-images/30444ec2-0ce2-4a2e-8611-03ce1ef05365_a7bc3ff5-193a-41f7-9cae-230a24826dfd.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-superb-combi-2-0-tdi-4x4-elegance-diesel-red-30444ec2-0ce2-4a2e-8611-03ce1ef05365
Skoda,Fabia,2014,Gasoline,ES,11520 ROTA,6150,EUR,https://prod.pictures.autoscout24.net/listing-images/a29b2ce4-1748-4bab-98a4-1e6d31806e7b_c97e7098-efe4-4d5c-871a-bf658079b24e.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-fabia-1-2i-active-gasoline-silver-a29b2ce4-1748-4bab-98a4-1e6d31806e7b
Skoda,Octavia,2009,Diesel,DE,68766 Hockenheim,3990,EUR,https://prod.pictures.autoscout24.net/listing-images/df9ad700-445c-4889-83f9-7b7cd3a36c70_5069bd13-be2e-4fb8-9a28-48b0e5d6b5f9.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-octavia-1-9-tdi-pd-dpf-4x4-diesel-silver-df9ad700-445c-4889-83f9-7b7cd3a36c70
Skoda,Rapid/Spaceback,2014,Diesel,AT,1100 Wien,4850,EUR,https://prod.pictures.autoscout24.net/listing-images/99d73de8-ee37-4f66-bfa0-73040ca776fa_50654b7b-9f16-4ea2-b186-f88f5da2c4dc.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-rapid-spaceback-rapid-1-6-active-tdi-green-tec-diesel-blue-99d73de8-ee37-4f66-bfa0-73040ca776fa
Skoda,Kodiaq,2019,Diesel,NL,2802 AK GOUDA,22000,EUR,https://prod.pictures.autoscout24.net/listing-images/3ed42394-929b-488e-ad6e-56b20066c758_3a91cdad-bdfa-4dfe-8542-aae53ce9ea68.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-kodiaq-2-0-tdi-dsg-soleil-diesel-black-3ed42394-929b-488e-ad6e-56b20066c758
Skoda,Karoq,2018,Diesel,IT,00169 Roma - RM,18499,EUR,https://prod.pictures.autoscout24.net/listing-images/dc45080c-af0d-401c-8f8e-fb12e0e06f7d_9051300e-bead-49ef-8340-c940a08bc830.jpg/420x315.jpg,https://www.autoscout24.com/offers/skoda-karoq-1-6-cr-tdi-scr-ambition-dsg-diesel-grey-dc45080c-af0d-401c-8f8e-fb12e0e06f7d
